run_time,dataset,od,is_valid,size_lhs,size_rhs,mean_time,min_time,quart25_time,median_time,quart75_time,max_time
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[7↑] -> [2↑,5↑,6↑]",True,1,3,00:00:00.0000022,00:00:00.0000011,00:00:00.0000013,00:00:00.0000017,00:00:00.0000021,00:00:00.0000159
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[6↑] -> [11↑,6↑,5↓,4↑]",False,1,4,00:00:00.0000022,00:00:00.0000010,00:00:00.0000013,00:00:00.0000017,00:00:00.0000021,00:00:00.0000172
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[0↓,10↓,11↓,5↓] -> [6↑]",False,4,1,00:00:00.0000092,00:00:00.0000048,00:00:00.0000059,00:00:00.0000063,00:00:00.0000079,00:00:00.0000936
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[6↑] -> [11↑,6↑,5↓,4↑]",True,1,4,00:00:00.0000024,00:00:00.0000010,00:00:00.0000013,00:00:00.0000017,00:00:00.0000021,00:00:00.0001321
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[5↓,0↓,9↓] -> [0↓,6↑]",True,3,2,00:00:00.0000029,00:00:00.0000014,00:00:00.0000018,00:00:00.0000021,00:00:00.0000026,00:00:00.0000705
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[11↓,0↓,4↓,7↑] -> [5↑]",False,4,1,00:00:00.0000091,00:00:00.0000050,00:00:00.0000059,00:00:00.0000063,00:00:00.0000078,00:00:00.0001276
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[7↑,9↑,11↓,1↑] -> [8↑,11↑,6↓,2↓,5↑]",True,4,5,00:00:00.0000073,00:00:00.0000037,00:00:00.0000048,00:00:00.0000052,00:00:00.0000065,00:00:00.0001222
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[1↓] -> [7↑]",True,1,1,00:00:00.0000022,00:00:00.0000010,00:00:00.0000014,00:00:00.0000017,00:00:00.0000022,00:00:00.0000170
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[8↑,4↓,1↑,11↓,9↑,2↑] -> [5↓,4↓]",True,6,2,00:00:00.0000126,00:00:00.0000070,00:00:00.0000084,00:00:00.0000090,00:00:00.0000110,00:00:00.0000910
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[2↑,1↓,5↑] -> [4↓,2↑,5↑,6↑]",False,3,4,00:00:00.0000060,00:00:00.0000032,00:00:00.0000040,00:00:00.0000044,00:00:00.0000054,00:00:00.0000452
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[3↓,0↑,8↑] -> [4↑]",False,3,1,00:00:00.0000070,00:00:00.0000035,00:00:00.0000045,00:00:00.0000049,00:00:00.0000062,00:00:00.0001025
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[0↑,5↑,4↓,7↑,9↑,2↑] -> [0↑,7↑,5↑,11↓,6↑,2↓]",True,6,6,00:00:00.0000079,00:00:00.0000043,00:00:00.0000051,00:00:00.0000055,00:00:00.0000069,00:00:00.0001014
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[7↑,0↓] -> [6↓,0↓,4↑,8↓,10↑,7↑]",True,2,6,00:00:00.0000048,00:00:00.0000024,00:00:00.0000029,00:00:00.0000031,00:00:00.0000039,00:00:00.0001552
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[8↓,4↑,5↑,1↑,7↑,3↓] -> [6↑]",True,6,1,00:00:00.0000123,00:00:00.0000070,00:00:00.0000082,00:00:00.0000088,00:00:00.0000107,00:00:00.0001045
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[10↑,2↓,7↑,9↑,4↓,11↓] -> [7↓,2↓]",False,6,2,00:00:00.0000071,00:00:00.0000038,00:00:00.0000046,00:00:00.0000050,00:00:00.0000060,00:00:00.0003797
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[9↑,6↓,4↓,10↓,5↓,1↑] -> [6↓,9↑,7↓,2↓]",False,6,4,00:00:00.0000040,00:00:00.0000019,00:00:00.0000026,00:00:00.0000028,00:00:00.0000034,00:00:00.0001579
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[4↓,10↑,8↑,6↑] -> [6↑]",True,4,1,00:00:00.0000070,00:00:00.0000034,00:00:00.0000043,00:00:00.0000047,00:00:00.0000057,00:00:00.0001970
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[0↓,8↓,3↑,1↑,7↓] -> [7↑,0↓,2↓,8↓,9↓,6↑]",False,5,6,00:00:00.0000111,00:00:00.0000056,00:00:00.0000070,00:00:00.0000077,00:00:00.0000095,00:00:00.0002470
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[5↓,0↓,9↓] -> [0↓,6↑]",False,3,2,00:00:00.0000028,00:00:00.0000014,00:00:00.0000018,00:00:00.0000021,00:00:00.0000026,00:00:00.0000755
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[2↓,8↓,11↑,6↓,9↓] -> [8↓,11↑,4↑]",False,5,3,00:00:00.0000037,00:00:00.0000017,00:00:00.0000023,00:00:00.0000025,00:00:00.0000031,00:00:00.0002344
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[5↓,2↓,10↓] -> [7↓,2↑,5↑]",False,3,3,00:00:00.0000063,00:00:00.0000031,00:00:00.0000039,00:00:00.0000044,00:00:00.0000052,00:00:00.0001294
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[2↓,6↑,9↑,7↑] -> [5↑,3↓,7↑]",True,4,3,00:00:00.0000088,00:00:00.0000047,00:00:00.0000056,00:00:00.0000061,00:00:00.0000075,00:00:00.0002500
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[3↓,6↑,0↑] -> [11↓,9↑,2↑,3↓,0↑]",True,3,5,00:00:00.0000068,00:00:00.0000033,00:00:00.0000041,00:00:00.0000044,00:00:00.0000053,00:00:00.0001916
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[0↓,6↑] -> [3↓,4↑,7↓,2↑]",False,2,4,00:00:00.0000050,00:00:00.0000025,00:00:00.0000031,00:00:00.0000034,00:00:00.0000043,00:00:00.0000917
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[4↓,5↓,0↑,1↑,11↑] -> [7↑]",False,5,1,00:00:00.0000113,00:00:00.0000060,00:00:00.0000073,00:00:00.0000078,00:00:00.0000098,00:00:00.0001402
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[7↓,2↑,6↓,4↓,8↑] -> [2↑,7↑]",False,5,2,00:00:00.0000034,00:00:00.0000016,00:00:00.0000023,00:00:00.0000025,00:00:00.0000031,00:00:00.0000583
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[2↓,3↓] -> [6↓,2↑]",False,2,2,00:00:00.0000042,00:00:00.0000022,00:00:00.0000027,00:00:00.0000030,00:00:00.0000038,00:00:00.0000518
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[3↓,1↑] -> [5↑,2↑,11↑]",True,2,3,00:00:00.0000044,00:00:00.0000023,00:00:00.0000027,00:00:00.0000030,00:00:00.0000036,00:00:00.0003060
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[8↑] -> [3↓]",False,1,1,00:00:00.0000025,00:00:00.0000011,00:00:00.0000014,00:00:00.0000018,00:00:00.0000022,00:00:00.0000826
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[3↓,6↑,0↑] -> [11↓,9↑,2↑,3↓,0↑]",False,3,5,00:00:00.0000061,00:00:00.0000034,00:00:00.0000040,00:00:00.0000044,00:00:00.0000053,00:00:00.0000708
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[0↓,9↓] -> [6↓,5↓,11↓,9↓,2↑]",True,2,5,00:00:00.0000052,00:00:00.0000026,00:00:00.0000033,00:00:00.0000035,00:00:00.0000044,00:00:00.0001456
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[1↑,11↑,2↓,0↑] -> [5↓,6↑]",True,4,2,00:00:00.0000084,00:00:00.0000046,00:00:00.0000055,00:00:00.0000060,00:00:00.0000073,00:00:00.0001359
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[0↑,10↓,9↑,11↑] -> [6↑,11↑]",True,4,2,00:00:00.0000103,00:00:00.0000045,00:00:00.0000059,00:00:00.0000064,00:00:00.0000080,00:00:00.0008776
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[1↑] -> [7↓,3↑]",True,1,2,00:00:00.0000023,00:00:00.0000011,00:00:00.0000014,00:00:00.0000018,00:00:00.0000022,00:00:00.0000178
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[7↓,3↑,5↑] -> [11↑]",True,3,1,00:00:00.0000060,00:00:00.0000032,00:00:00.0000040,00:00:00.0000044,00:00:00.0000053,00:00:00.0000486
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[4↑,2↑,9↓] -> [8↓,7↑,4↑,11↓,2↑]",False,3,5,00:00:00.0000060,00:00:00.0000029,00:00:00.0000037,00:00:00.0000041,00:00:00.0000050,00:00:00.0001402
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[2↑,0↓,4↓,6↑] -> [11↑,2↑]",True,4,2,00:00:00.0000092,00:00:00.0000052,00:00:00.0000059,00:00:00.0000064,00:00:00.0000080,00:00:00.0001166
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[0↑,3↑,9↓,1↑,8↓] -> [3↓,5↓,0↑,9↓]",True,5,4,00:00:00.0000059,00:00:00.0000030,00:00:00.0000037,00:00:00.0000041,00:00:00.0000053,00:00:00.0000618
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[5↑,11↑,3↓,10↑,4↑,8↑] -> [6↑,7↓]",False,6,2,00:00:00.0000123,00:00:00.0000064,00:00:00.0000081,00:00:00.0000087,00:00:00.0000104,00:00:00.0001856
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[6↑,8↓,7↓] -> [3↑,5↑,7↓,2↑,4↓]",False,3,5,00:00:00.0000066,00:00:00.0000032,00:00:00.0000042,00:00:00.0000046,00:00:00.0000056,00:00:00.0000923
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[0↑,5↑,4↓,7↑,9↑,2↑] -> [0↑,7↑,5↑,11↓,6↑,2↓]",False,6,6,00:00:00.0000077,00:00:00.0000042,00:00:00.0000051,00:00:00.0000055,00:00:00.0000070,00:00:00.0000534
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[7↓,2↑,6↓,4↓,8↑] -> [2↑,7↑]",True,5,2,00:00:00.0000036,00:00:00.0000017,00:00:00.0000023,00:00:00.0000025,00:00:00.0000031,00:00:00.0001020
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[7↑,9↑,11↓,1↑] -> [8↑,11↑,6↓,2↓,5↑]",False,4,5,00:00:00.0000077,00:00:00.0000037,00:00:00.0000048,00:00:00.0000052,00:00:00.0000065,00:00:00.0002194
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[4↓,5↓,0↑,1↑,11↑] -> [7↑]",True,5,1,00:00:00.0000112,00:00:00.0000059,00:00:00.0000073,00:00:00.0000079,00:00:00.0000098,00:00:00.0002631
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[8↑,11↑,10↓,2↓,4↓,5↓] -> [9↑,4↓,3↓]",False,6,3,00:00:00.0000212,00:00:00.0000111,00:00:00.0000135,00:00:00.0000147,00:00:00.0000181,00:00:00.0003685
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[8↓] -> [3↑]",False,1,1,00:00:00.0000026,00:00:00.0000011,00:00:00.0000014,00:00:00.0000018,00:00:00.0000022,00:00:00.0002079
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[8↑,10↑,3↑,2↑,7↓] -> [7↓,5↓,11↓,4↑]",True,5,4,00:00:00.0000088,00:00:00.0000049,00:00:00.0000058,00:00:00.0000063,00:00:00.0000078,00:00:00.0000627
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[9↓] -> [9↓,4↑,2↓,5↓,3↑]",True,1,5,00:00:00.0000035,00:00:00.0000013,00:00:00.0000018,00:00:00.0000021,00:00:00.0000031,00:00:00.0001833
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[10↑,2↓,7↑,9↑,4↓,11↓] -> [7↓,2↓]",True,6,2,00:00:00.0000072,00:00:00.0000038,00:00:00.0000046,00:00:00.0000050,00:00:00.0000060,00:00:00.0001501
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[10↓,1↓,9↑,2↑] -> [4↑,7↑,2↑,10↓]",True,4,4,00:00:00.0000086,00:00:00.0000046,00:00:00.0000057,00:00:00.0000061,00:00:00.0000074,00:00:00.0001458
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[2↓,4↓,11↓,0↑,6↑] -> [5↑]",True,5,1,00:00:00.0000108,00:00:00.0000057,00:00:00.0000071,00:00:00.0000078,00:00:00.0000096,00:00:00.0000793
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[8↑] -> [3↓]",True,1,1,00:00:00.0000025,00:00:00.0000012,00:00:00.0000014,00:00:00.0000018,00:00:00.0000022,00:00:00.0001185
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[0↑,7↓,5↓] -> [2↑,4↓,9↑]",False,3,3,00:00:00.0000074,00:00:00.0000032,00:00:00.0000044,00:00:00.0000048,00:00:00.0000062,00:00:00.0004016
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[8↑,4↓,1↑,11↓,9↑,2↑] -> [5↓,4↓]",False,6,2,00:00:00.0000124,00:00:00.0000068,00:00:00.0000083,00:00:00.0000090,00:00:00.0000109,00:00:00.0000867
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[4↓,10↓,5↑,0↑,2↓,11↑] -> [2↑,10↓,9↑]",True,6,3,00:00:00.0000119,00:00:00.0000060,00:00:00.0000074,00:00:00.0000080,00:00:00.0000100,00:00:00.0003313
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[11↓,9↑,2↓] -> [8↑,5↑,6↓,4↓,7↑,9↑]",True,3,6,00:00:00.0000054,00:00:00.0000029,00:00:00.0000035,00:00:00.0000038,00:00:00.0000049,00:00:00.0000373
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[3↑,11↓,4↓,8↓,10↑,9↓] -> [5↓,4↑,3↓,7↑]",False,6,4,00:00:00.0000128,00:00:00.0000070,00:00:00.0000085,00:00:00.0000091,00:00:00.0000111,00:00:00.0001320
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[0↑,11↑,1↑,3↑,4↓] -> [4↑,6↓]",True,5,2,00:00:00.0000111,00:00:00.0000059,00:00:00.0000072,00:00:00.0000077,00:00:00.0000095,00:00:00.0001632
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[8↑,2↓,1↑,7↓,6↓,4↑] -> [4↓]",False,6,1,00:00:00.0000126,00:00:00.0000065,00:00:00.0000082,00:00:00.0000088,00:00:00.0000107,00:00:00.0002452
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[0↓,4↑,9↓,11↑] -> [5↑,2↓,9↓]",True,4,3,00:00:00.0000089,00:00:00.0000048,00:00:00.0000059,00:00:00.0000064,00:00:00.0000078,00:00:00.0000767
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[5↑,11↑,3↓,10↑,4↑,8↑] -> [6↑,7↓]",True,6,2,00:00:00.0000123,00:00:00.0000064,00:00:00.0000081,00:00:00.0000087,00:00:00.0000104,00:00:00.0001967
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[2↓,6↑,9↑,7↑] -> [5↑,3↓,7↑]",False,4,3,00:00:00.0000088,00:00:00.0000047,00:00:00.0000057,00:00:00.0000061,00:00:00.0000074,00:00:00.0001620
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[5↑,6↓,2↑] -> [4↓]",False,3,1,00:00:00.0000061,00:00:00.0000032,00:00:00.0000040,00:00:00.0000044,00:00:00.0000053,00:00:00.0000773
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[9↑,6↓,4↓,10↓,5↓,1↑] -> [6↓,9↑,7↓,2↓]",True,6,4,00:00:00.0000040,00:00:00.0000021,00:00:00.0000026,00:00:00.0000028,00:00:00.0000034,00:00:00.0001891
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[8↓,4↓,6↓,5↓,0↓] -> [3↓,0↓,10↑]",False,5,3,00:00:00.0000109,00:00:00.0000058,00:00:00.0000071,00:00:00.0000076,00:00:00.0000092,00:00:00.0001612
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[3↑,5↑,8↓,2↑,4↑,1↑] -> [5↓,9↓]",True,6,2,00:00:00.0000055,00:00:00.0000028,00:00:00.0000034,00:00:00.0000038,00:00:00.0000046,00:00:00.0001805
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[11↑,0↓] -> [7↑,11↓,3↓]",False,2,3,00:00:00.0000044,00:00:00.0000022,00:00:00.0000028,00:00:00.0000030,00:00:00.0000038,00:00:00.0001242
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[1↑,3↑,9↓,5↑,0↓] -> [6↓,4↑]",True,5,2,00:00:00.0000106,00:00:00.0000059,00:00:00.0000070,00:00:00.0000076,00:00:00.0000092,00:00:00.0001267
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[6↑,3↑,7↓,0↑] -> [2↑,0↑,1↑]",True,4,3,00:00:00.0000087,00:00:00.0000045,00:00:00.0000055,00:00:00.0000059,00:00:00.0000072,00:00:00.0005379
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[8↓] -> [3↑]",True,1,1,00:00:00.0000024,00:00:00.0000011,00:00:00.0000014,00:00:00.0000018,00:00:00.0000022,00:00:00.0000180
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[0↑,7↓,5↓] -> [2↑,4↓,9↑]",True,3,3,00:00:00.0000068,00:00:00.0000033,00:00:00.0000044,00:00:00.0000048,00:00:00.0000061,00:00:00.0001335
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[4↓,10↓,5↑,0↑,2↓,11↑] -> [2↑,10↓,9↑]",False,6,3,00:00:00.0000114,00:00:00.0000063,00:00:00.0000073,00:00:00.0000079,00:00:00.0000099,00:00:00.0001743
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[7↓,0↓,9↓] -> [0↓,1↑]",True,3,2,00:00:00.0000028,00:00:00.0000013,00:00:00.0000019,00:00:00.0000022,00:00:00.0000027,00:00:00.0000236
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[6↑,7↓] -> [2↓]",False,2,1,00:00:00.0000041,00:00:00.0000023,00:00:00.0000028,00:00:00.0000030,00:00:00.0000037,00:00:00.0000320
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[0↑,11↑,1↑,3↑,4↓] -> [4↑,6↓]",False,5,2,00:00:00.0000110,00:00:00.0000057,00:00:00.0000071,00:00:00.0000077,00:00:00.0000097,00:00:00.0001057
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[4↑,10↑,9↑] -> [5↓]",True,3,1,00:00:00.0000065,00:00:00.0000034,00:00:00.0000041,00:00:00.0000045,00:00:00.0000054,00:00:00.0001912
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[5↓,8↓,2↓,11↑] -> [9↓,4↑]",False,4,2,00:00:00.0000087,00:00:00.0000043,00:00:00.0000052,00:00:00.0000056,00:00:00.0000071,00:00:00.0004819
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[4↓,2↑,1↑,0↑] -> [3↑]",True,4,1,00:00:00.0000081,00:00:00.0000044,00:00:00.0000054,00:00:00.0000058,00:00:00.0000071,00:00:00.0000927
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[4↑,6↑] -> [11↑,5↓,6↓]",False,2,3,00:00:00.0000043,00:00:00.0000022,00:00:00.0000027,00:00:00.0000030,00:00:00.0000037,00:00:00.0001418
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[7↓,1↑,8↓,11↑,5↓] -> [1↑,2↓,11↓,7↓]",False,5,4,00:00:00.0000038,00:00:00.0000017,00:00:00.0000023,00:00:00.0000026,00:00:00.0000032,00:00:00.0001460
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[4↓,2↑,1↑,0↑] -> [3↑]",False,4,1,00:00:00.0000084,00:00:00.0000046,00:00:00.0000054,00:00:00.0000059,00:00:00.0000072,00:00:00.0001488
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[3↑] -> [7↓,11↑]",False,1,2,00:00:00.0000024,00:00:00.0000011,00:00:00.0000013,00:00:00.0000017,00:00:00.0000021,00:00:00.0001113
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[8↓,11↓,7↑,0↓] -> [7↑,2↑,5↓]",False,4,3,00:00:00.0000053,00:00:00.0000027,00:00:00.0000033,00:00:00.0000036,00:00:00.0000045,00:00:00.0001031
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[6↑,3↑,8↓,10↓,4↑,0↓] -> [2↓,8↓]",False,6,2,00:00:00.0000130,00:00:00.0000068,00:00:00.0000084,00:00:00.0000091,00:00:00.0000110,00:00:00.0001898
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[11↑,4↓,8↑,7↓,5↓,0↑] -> [4↑,2↑,8↑,7↑]",False,6,4,00:00:00.0000053,00:00:00.0000028,00:00:00.0000034,00:00:00.0000038,00:00:00.0000046,00:00:00.0000892
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[5↑,7↑,0↑] -> [6↑,2↑,5↓]",False,3,3,00:00:00.0000064,00:00:00.0000033,00:00:00.0000041,00:00:00.0000045,00:00:00.0000054,00:00:00.0001431
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[1↑] -> [7↓,3↑]",False,1,2,00:00:00.0000024,00:00:00.0000011,00:00:00.0000014,00:00:00.0000017,00:00:00.0000021,00:00:00.0001196
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[3↑,11↓,4↓,8↓,10↑,9↓] -> [5↓,4↑,3↓,7↑]",True,6,4,00:00:00.0000133,00:00:00.0000071,00:00:00.0000084,00:00:00.0000091,00:00:00.0000110,00:00:00.0004260
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[6↑,3↑,7↓,0↑] -> [2↑,0↑,1↑]",False,4,3,00:00:00.0000083,00:00:00.0000045,00:00:00.0000054,00:00:00.0000059,00:00:00.0000072,00:00:00.0000959
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[4↓,0↑] -> [7↓,11↓,5↓]",False,2,3,00:00:00.0000043,00:00:00.0000024,00:00:00.0000029,00:00:00.0000031,00:00:00.0000038,00:00:00.0000958
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[7↑] -> [2↑,5↑,6↑]",False,1,3,00:00:00.0000024,00:00:00.0000010,00:00:00.0000013,00:00:00.0000017,00:00:00.0000022,00:00:00.0001344
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[8↓,11↓,7↑,0↓] -> [7↑,2↑,5↓]",True,4,3,00:00:00.0000054,00:00:00.0000025,00:00:00.0000033,00:00:00.0000036,00:00:00.0000045,00:00:00.0001924
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[6↑,5↑,11↓,9↑,4↑] -> [2↑,4↓,8↑,7↑,6↓]",False,5,5,00:00:00.0000107,00:00:00.0000058,00:00:00.0000070,00:00:00.0000075,00:00:00.0000092,00:00:00.0001695
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[3↑,7↓,9↑,5↓] -> [6↓,11↑,7↑,5↑,9↑]",True,4,5,00:00:00.0000089,00:00:00.0000047,00:00:00.0000058,00:00:00.0000062,00:00:00.0000076,00:00:00.0001955
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[9↓,11↓,7↓] -> [4↑]",True,3,1,00:00:00.0000067,00:00:00.0000037,00:00:00.0000043,00:00:00.0000047,00:00:00.0000057,00:00:00.0001329
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[7↑,0↓] -> [6↓,0↓,4↑,8↓,10↑,7↑]",False,2,6,00:00:00.0000043,00:00:00.0000024,00:00:00.0000029,00:00:00.0000031,00:00:00.0000039,00:00:00.0000413
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[3↑,5↑,8↓,2↑,4↑,1↑] -> [5↓,9↓]",False,6,2,00:00:00.0000054,00:00:00.0000027,00:00:00.0000034,00:00:00.0000038,00:00:00.0000046,00:00:00.0000944
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[6↓,8↓,1↑,7↑,5↑] -> [8↓,2↑]",False,5,2,00:00:00.0000037,00:00:00.0000017,00:00:00.0000023,00:00:00.0000025,00:00:00.0000030,00:00:00.0001623
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[0↑,3↑,9↓,1↑,8↓] -> [3↓,5↓,0↑,9↓]",False,5,4,00:00:00.0000058,00:00:00.0000030,00:00:00.0000037,00:00:00.0000041,00:00:00.0000053,00:00:00.0000469
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[0↓,8↓,3↑,1↑,7↓] -> [7↑,0↓,2↓,8↓,9↓,6↑]",True,5,6,00:00:00.0000113,00:00:00.0000058,00:00:00.0000071,00:00:00.0000077,00:00:00.0000096,00:00:00.0001735
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[2↓,4↓,11↓,0↑,6↑] -> [5↑]",False,5,1,00:00:00.0000110,00:00:00.0000059,00:00:00.0000072,00:00:00.0000078,00:00:00.0000097,00:00:00.0002149
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[5↑,9↓,11↓,7↓,3↓,1↑] -> [4↓]",False,6,1,00:00:00.0000127,00:00:00.0000069,00:00:00.0000083,00:00:00.0000090,00:00:00.0000110,00:00:00.0001463
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[5↓,11↓,1↓,6↑,10↑] -> [5↓,3↑,4↓,6↑,7↓,2↑]",True,5,6,00:00:00.0000101,00:00:00.0000053,00:00:00.0000066,00:00:00.0000072,00:00:00.0000086,00:00:00.0003344
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[7↓] -> [6↑,3↓]",False,1,2,00:00:00.0000024,00:00:00.0000011,00:00:00.0000014,00:00:00.0000017,00:00:00.0000021,00:00:00.0001886
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[0↓,8↓,9↓,2↓,1↓] -> [7↓,3↑,9↓,0↓,5↓,1↓]",False,5,6,00:00:00.0000115,00:00:00.0000060,00:00:00.0000073,00:00:00.0000079,00:00:00.0000099,00:00:00.0002533
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[5↓,8↓,2↓,11↑] -> [9↓,4↑]",True,4,2,00:00:00.0000078,00:00:00.0000043,00:00:00.0000052,00:00:00.0000056,00:00:00.0000070,00:00:00.0000669
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[0↑] -> [6↓,11↓,2↓,4↓,0↑,8↓]",False,1,6,00:00:00.0000024,00:00:00.0000011,00:00:00.0000014,00:00:00.0000018,00:00:00.0000023,00:00:00.0000215
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[4↑,2↑,9↓] -> [8↓,7↑,4↑,11↓,2↑]",True,3,5,00:00:00.0000059,00:00:00.0000031,00:00:00.0000037,00:00:00.0000041,00:00:00.0000048,00:00:00.0003511
2024-02-07T10:51:05.3689014Z,"credit/provider.csv","[0↓,4↑,3↓,2↑,1↓] -> [5↑,11↑,3↓,2↓,6↓]",True,5,5,00:00:00.0000110,00:00:00.0000060,00:00:00.0000071,00:00:00.0000077,00:00:00.0000097,00:00:00.0001441
